"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"512","RT @NASAHurricane: Satellite Animation Shows Tropical Depression Harvey Moving Inland  
NOAA's GOES East satellite imagery  Aug. 29 to 31.…",FALSE,0,NA,2017-09-01 17:06:55,FALSE,NA,"903665483311931393",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JeffcoScience",53,TRUE,FALSE,NA,NA
"513","RT @nationalcouncil: Most people who live through a disaster will recover, but some can experience PTSD, anxiety, &amp; depression. #Unite4BH h…",FALSE,0,NA,2017-09-01 17:03:45,FALSE,NA,"903664688155774976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","5Live_Drew",23,TRUE,FALSE,NA,NA
"514","RT @nationalcouncil: Most people who live through a disaster will recover, but some can experience PTSD, anxiety, &amp; depression. #Unite4BH h…",FALSE,0,NA,2017-09-01 17:03:11,FALSE,NA,"903664543657807873",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","APAPublicInt",23,TRUE,FALSE,NA,NA
"515","RT @ABHWorg: Most people who live through a disaster will recover, but some can experience PTSD, anxiety, and depression. #health https://t…",FALSE,0,NA,2017-09-01 17:01:52,FALSE,NA,"903664212865667078",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","3xy0xx",1,TRUE,FALSE,NA,NA
"516","RT @Purples_Soccer: The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural regard…",FALSE,0,NA,2017-09-01 17:01:20,FALSE,NA,"903664080606687236",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BGISDgaryfields",13,TRUE,FALSE,NA,NA
"517","NHC says Harvey weakens to post-tropical cyclone - (Reuters) - Tropical depression Harvey has weakened into a p... https://t.co/dA2HCkhnen",FALSE,0,NA,2017-09-01 17:01:05,FALSE,NA,"903664018631655424",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","nowlifestyle3",0,FALSE,FALSE,NA,NA
"518","RT @Accu_Jesse: Tropical Depression Harvey will bring severe weather to a Carolinas, esp. Charlotte / central Piedmont area. https://t.co/Q…",FALSE,0,NA,2017-09-01 16:58:26,FALSE,NA,"903663349736624129",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AndrewWxCenter",2,TRUE,FALSE,NA,NA
"519","The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural re… https://t.co/QtTl5aXL3d",FALSE,10,NA,2017-09-01 16:58:18,TRUE,NA,"903663318220640261",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Purples_Soccer",13,FALSE,FALSE,NA,NA
"520","RT @Lew_Jetton: Harvey moving out! We're moving in! — What's left of Tropical Depression Harvey continues... https://t.co/IQJdt7vV7w https:…",FALSE,0,NA,2017-09-01 16:54:59,FALSE,NA,"903662482773991426",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ZIrW6UGVFw6EAaT",2,TRUE,FALSE,NA,NA
"521","@tagvorofan Yep. Caused by Tropical Depression Harvey but still not nearly as bad as what happened in Houston.",FALSE,0,"tagvorofan",2017-09-01 16:52:27,FALSE,"903661473997737985","903661845709553665","848420906510811137","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KristiMaxx",0,FALSE,FALSE,NA,NA
"522","RT @kfdmnews: Harvey may be downgraded to tropical depression https://t.co/sLoadGodHm https://t.co/KiOFzRGX5L",FALSE,0,NA,2017-09-01 16:47:21,FALSE,NA,"903660562084757505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Melapaloosa",3,TRUE,FALSE,NA,NA
"523","RT @nationalcouncil: Most people who live through a disaster will recover, but some can experience PTSD, anxiety, &amp; depression. #Unite4BH h…",FALSE,0,NA,2017-09-01 16:46:27,FALSE,NA,"903660332102680576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","markrudln",23,TRUE,FALSE,NA,NA
"524","RT @thedailyherald: Tropical Depression Harvey passes with little damage, Maury County Fair will continue despite wind advisory
https://t.c…",FALSE,0,NA,2017-09-01 16:46:08,FALSE,NA,"903660256311599104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JuliaStenberg3",1,TRUE,FALSE,NA,NA
"525","The Latest: Corpus Christi Ship Channel reopens - HOUSTON (AP) — The Latest on Tropical Depression Harvey (all ... https://t.co/I14IBj22Bo",FALSE,0,NA,2017-09-01 16:45:59,FALSE,NA,"903660216520204290",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PRnewsBusiness",0,FALSE,FALSE,NA,NA
